Close_Date,Customer ID,Quantity,Revenue,Profit
4/1/2019,0,12,2886,369.77
4/8/2019,0,15,22756,2217.25
4/15/2019,0,12,18060.5,2137.29
4/22/2019,0,13,3474,836.08
4/29/2019,0,11,19954,4016.2
5/6/2019,0,12,7653,770.15
5/13/2019,0,19,15400,2830.93
5/20/2019,0,17,12065,1797.1
5/27/2019,0,13,13792.5,2410.35
6/3/2019,0,16,13609,1316.86
6/10/2019,0,19,10945,2126.67
6/17/2019,0,17,13909.5,1005.5
6/24/2019,0,15,53111.5,6434.52
7/1/2019,0,18,17065.5,2191.75
7/8/2019,0,13,12907.5,3146.69
7/15/2019,0,9,3685,977.33
7/22/2019,0,15,6911,2399.55
7/29/2019,0,22,24347,2670.46
8/5/2019,0,24,27012,3532.07
8/12/2019,0,21,22637,2341.64
8/19/2019,0,16,12588,1729.63
8/26/2019,0,15,10670,1604.45
9/9/2019,0,13,7702,1655.65
9/16/2019,0,23,19153.8,2175.93
9/23/2019,0,16,23099,2855.45
9/30/2019,0,20,15165,2470.94
10/7/2019,0,23,17799.2,3170.59
10/14/2019,0,17,10484,1510.16
10/21/2019,0,12,8780,990.34
10/28/2019,0,20,22474.9,3053.46
11/4/2019,0,20,9964.5,1864.94
11/11/2019,0,19,20749.5,2808.16
11/18/2019,0,11,10307.5,1351.14
11/25/2019,0,11,14985.5,1284.75
12/2/2019,0,17,16513,3302.19
12/9/2019,0,11,8948.7,1061.61
12/16/2019,0,19,10747,1636.29
12/30/2019,0,26,19854.5,3899.13
1/6/2020,0,12,11843,1813
1/13/2020,0,16,12193,965.12
1/20/2020,0,15,12502.5,1920.4
1/27/2020,0,19,13810.9,1779.17
2/3/2020,0,34,24518.5,3448.56
2/10/2020,0,10,23478,1906.79
2/17/2020,0,20,22844,2327.48
2/24/2020,0,16,20682.5,2837.4
3/2/2020,0,16,13754.5,1748.89
3/9/2020,0,15,10819.5,1138.79
3/16/2020,0,15,7970.5,1644.22
3/23/2020,0,9,15037,1599.71
3/30/2020,0,8,5802,336.45
4/6/2020,0,14,21251,1725.55
4/13/2020,0,8,17983.5,2013.85
4/20/2020,0,14,20220,2955.04
4/27/2020,0,14,14974.5,2580.29
4/1/2019,1,17,8935.8,1612.52
4/8/2019,1,15,16665,1542.87
4/15/2019,1,17,15556.5,1288.63
4/22/2019,1,15,14216,1961.14
4/29/2019,1,13,13931,1016.75
5/6/2019,1,20,16887,1575.49
5/13/2019,1,13,18875,1418.28
5/20/2019,1,10,13799.5,1266.51
5/27/2019,1,3,4484.5,232.36
6/3/2019,1,13,13426,3013.09
6/10/2019,1,10,19854.5,3631.97
6/17/2019,1,16,27952.5,2617.54
6/24/2019,1,21,60744,4390.58
7/1/2019,1,14,40334,2326.01
7/8/2019,1,14,18486,2137.49
7/15/2019,1,13,20182.3,1200.97
7/22/2019,1,20,33419.5,3393.44
7/29/2019,1,8,6149,604.19
8/5/2019,1,8,4054,681.48
8/12/2019,1,18,27678,2264.87
8/19/2019,1,14,15298.5,1166.39
8/26/2019,1,17,18494,2004.35
9/9/2019,1,15,21195.6,2076.64
9/16/2019,1,8,8770,925.88
9/23/2019,1,14,21188,1790.11
9/30/2019,1,18,63959.5,5045.06
10/7/2019,1,13,14429.5,692.31
10/14/2019,1,14,22680.5,1577
10/21/2019,1,14,26207,1887.27
10/28/2019,1,10,7174.5,551.78
11/4/2019,1,22,20597.5,1935.64
11/11/2019,1,6,8929.5,586.29
11/18/2019,1,7,11552.5,1365.88
11/25/2019,1,7,7920.5,236.17
12/2/2019,1,10,9344,1818.68
12/9/2019,1,13,12192.8,1011.65
12/16/2019,1,9,26035,1391.43
12/30/2019,1,13,23532.7,1799.47
1/6/2020,1,18,27401.6,1267.08
1/13/2020,1,3,7184,414.88
1/20/2020,1,11,16958,1537.22
1/27/2020,1,16,39417,2840.49
2/3/2020,1,9,16585.5,546.05
2/10/2020,1,11,12129,708.53
2/17/2020,1,12,8731.3,677.51
2/24/2020,1,12,6226,544.18
3/2/2020,1,15,20506.8,1078.38
3/9/2020,1,13,11958.5,1888.01
3/16/2020,1,18,31041.3,2464.02
3/23/2020,1,12,12586,869.05
3/30/2020,1,12,14969,1429.16
4/6/2020,1,12,9995,1158.78
4/13/2020,1,2,1499.5,210
4/20/2020,1,11,8892.7,702.52
4/27/2020,1,10,5637.9,766.05
4/1/2019,2,4,5852.9,189.43
4/8/2019,2,3,6512,745.42
4/15/2019,2,6,14297.8,974.53
4/22/2019,2,8,8685.3,612.6
4/29/2019,2,2,4932.7,56.58
5/6/2019,2,5,10889.5,110.24
5/13/2019,2,6,47760.7,5397.17
5/20/2019,2,7,17757.3,2561.88
5/27/2019,2,7,20088.5,1266.65
